FREQ;UNIT;INDIC_PS;GEO\TIME_PERIOD,2012 ,2013 ,2014 ,2015 ,2016 ,2017
A;MIO_EUR;FIN303_01;IT,2589.10 ,2589.10 ,: c,: c,: c,: c
A;MIO_EUR;FIN303_01;LT,32.91 ,25.72 ,27.17 ,26.42 b,21.55 ,25.41
A;MIO_EUR;FIN303_01;LU,: ,: ,: ,119.27 ,122.52 ,0.00
A;MIO_EUR;FIN303_01;LV,41.88 ,32.94 ,25.60 ,27.20 ,29.58 ,: c
A;MIO_EUR;FIN303_01;MK,24.37 ,24.72 ,22305.31 ,22270.03 ,16231085.95 ,14901442.79
A;MIO_EUR;FIN303_01;MT,14.63 ,16.09 ,: c,: c,: c,: c
A;MIO_EUR;FIN303_01;NL,: ,: ,: c,: c,: c,: c
A;MIO_EUR;FIN303_01;NO,1417.04 ,: ,: ,: ,: ,585094.33
A;MIO_EUR;FIN303_01;PL,953.80 ,1035.36 ,956.08 ,921.28 ,823.72 ,839.93
A;MIO_EUR;FIN303_01;PT,: ,364.90 ,367.31 ,369.79 ,356.00 ,353.69
A;MIO_EUR;FIN303_01;RO,: ,: ,: ,: z,: z,:
A;MIO_EUR;FIN303_01;RS,63.00 ,64.06 ,67.12 ,62.30 ,65.74 ,69.79
A;MIO_EUR;FIN303_01;SE,1755.04 ,1740.47 ,1639.84 ,1582.79 ,1594.13 ,1575.53
A;MIO_EUR;FIN303_01;SI,71.61 ,62.55 ,66.00 ,64.96 ,63.99 ,: c
A;MIO_EUR;FIN303_01;SK,124.70 ,128.40 ,: c,: c,: c,: c
A;MIO_EUR;FIN303_01;UK,3785.00 ,3704.43 ,3823.02 ,4089.61 ,3569.44 ,3223.21
A;MIO_EUR;FIN303_02;AT,: ,679.07 ,696.94 ,369.38 ,546.00 ,566.00
A;MIO_EUR;FIN303_02;BE,1190.33 ,939.67 ,977.62 ,1059.54 ,1140.32 ,1293.29
A;MIO_EUR;FIN303_02;BG,77.86 ,77.36 ,92.14 ,93.38 ,156.00 ,156.25
A;MIO_EUR;FIN303_02;CH,1171.20 ,: ,: ,: ,558.62 ,531.69
A;MIO_EUR;FIN303_02;CY,27.12 ,25.90 ,: ,23.40 ,35.12 ,38.10
A;MIO_EUR;FIN303_02;CZ,: ,122.59 ,145.77 ,327.53 ,435.71 ,168.28
A;MIO_EUR;FIN303_02;DE,: ,: ,: ,: ,: ,147.00
A;MIO_EUR;FIN303_02;DK,304.15 ,305.58 ,: c,247.54 ,: c,: c
A;MIO_EUR;FIN303_02;EE,59.77 ,50.53 ,56.90 b,76.80 b,67.31 ,10.05
A;MIO_EUR;FIN303_02;EL,259.40 ,282.77 ,308.01 ,304.36 ,298.96 b,311.93
